8.125,124.87
38.125,125.63
60.375,124.13
91.875,134.13
53.625,148.63
94.625,151.63
14.875,160.63
35.875,162.88
53.125,154.63
62.125,162.38
83.875,163.88
100.88,166.38
122.38,169.38
156.63,98.625
167.13,91.625
184.63,89.375
178.88,105.38
170.13,130.13
148.63,144.13
183.13,148.38
157.13,158.63
174.13,159.63
215.13,70.125
268.13,50.125
329.13,70.375
242.13,82.625
296.38,83.625
268.63,128.38
245.88,142.63
328.88,127.13
351.13,93.875
367.88,98.875
386.37,79.125
421.63,73.875
435.37,79.625
450.13,98.125
479.38,90.125
380.13,152.88
499.13,54.375
547.13,32.625
581.88,45.625
547.88,63.625
498.87,83.875
530.13,72.125
530.13,86.875
553.63,102.13
568.13,97.125
516.88,103.38
530.13,129.63
505.13,137.88
554.88,143.13
421.88,160.13
393.13,167.88
423.63,190.63
397.13,196.63
404.38,208.38
423.13,204.13
313.13,170.13
156.38,185.88
131.38,189.63
198.88,193.38
150.13,206.38
178.38,207.38
148.88,255.88
180.13,256.63
102.88,261.63
222.13,266.38
139.63,274.88
209.38,277.13
181.88,310.88
154.38,311.38
199.88,333.13
278.63,338.13
49.968,334.58
43.715,373.11
84.875,206.62
100.38,208.38
121.88,209.88
14.875,203.88
34.875,205.13
13.375,223.63
64.125,205.13
100.13,242.38
124.38,244.38
137.88,245.88
138.38,211.13
0.5,0.5
600.5,0.5
0.5,400.5
600.5,400.5
